text,label
"Am liebsten gehe ich eigentlich auf Kreuzfahrtschiffe, aber das ist so teuer geworden. Wenn man jetzt alleine ist, es schwierig. Aber ich habe mit zwei anderen Mädels geplant, dass wir so fünf Tage Wien machen und dann mal sehen mein Bruder, der lebt in Spanien. Also denke ich, dass ich Auch ein paar Wochen nach Spanien gehen werden. Kroatien genau nach Pula haben wir letztes Jahr sogar schon gebucht. Waren letztes Jahr in Italien und Kroatien mal so ein bisschen rumgucken Sonne, coole Unterkunft wollen, Masse hier unser ganzes Ländereck. Marco Grasl aber so gucken, was da so los ist Gegeben in den Faschingsferien, Skifahren erst mal mit der Familie, so nach Vorarlberg, dass tatsächlich eine location, da war ich früher schon mit meiner Familie Kind. Und jetzt sind wir es erst mal wieder dabei, seit über zehn Jahren oder so, Erst mal in die Heimat, nach Griechenland, selbstverständlich über Weihnachten, dann entweder nach Thailand oder vielleicht Amerika. Aber ich tendiere zu Thailand. Also schön Weihnachten in Shorts. Und dann gucken wir mal wohl eher eine oder andere Kurztrip. Und",6
"Swr vier Rheinland-Pfalz Rader Scheidt der Patient, dem die Ärzte vertrauen Nehmen Sie bitte noch einen Moment Platz im Wartezimmer, Ja, gerne Espinha, Profi, Patient hören Sie, schauen Sie auch manchmal in der Zukunft? Ja, ich stur das. Wann denke ich, wenn das Rheuma zunehmend ja, und ich wünsche mir alle Zusammenhang. Wer soll Bremer um ein Pfleger sein? Wer wird Marder Rente zahlen?  Und dann schaue ich rüber zu meiner Nachbarin da Frau Bentheimer ja, die es jetzt zum fünften Mal schwanger. Ja, da wird ja wohl einer von denen dabei sein, der für mich sorgt. Oder aber es geht ja nicht nur um mich. Wir werden ja alle älter, und es sind ja kaum noch Kinder da. Wir haben in Deutschland eine Geburtenrate von 1,3 Kindern pro Frau gut. De Frau Bentheimer hat schon mal 5,0 vor ihr liegt da. Könnte man jetzt also noch sechs Frauen jeweils nur ein halbes Kind kriegen? Da wurde eine Statistik immer noch stimmen. Ja, das war uns so schlecht vermehren. Das liegt ja am Pillenknick. Denkt, ob seit die Antibabypille auf dem Markt ist. Das war vor 50 Jahren geht es mit uns abwärts. Pillenknick den kennen Sie? Was ist da Knick? Irmler, Bevölkerungskurve nach unten um den gab es übrigens auch immer DDR, obwohl die damals noch gar keine Pille hatte. Erstaunlich, ja, das muss in Industrienationen an der Geburtenrate sowieso runtergeht. Egal ob die die Pille haben oder nicht. Ja, das habe ich ja mal hier im Wartezimmer in einer Illustrierten hier lesen. Da stand auch, dass das in Deutschland nur so auffiel, mit dem ihr Boot und Rückgang, weil wir direkt nach dem Krieg so viele Geburten hatten. Bei vielen Verlusten an der Bevölkerung reagiert die Gesellschaft durch mehr Geburten. Man nimmt das demografischer Kompensation, das ist auch mal ein Wort, das man sich merken muss demografischer Kompensation, wenn sie sich mit ihrer Jugend oder Familienplanung Unterhalt und da sagen sie am besten nicht mehr. Sex oder Verkehr. Das klingt sowieso so, als hätte unsere keine Ahnung. Versagen, so doch einfacher, junger, jetzt mal ran. Es ist Zeit, demografisch zu kompensieren. Powerfrau Bentheimer kann nicht für uns andere Sorgen. Also bleiben Sie gesund, weil ist besser. Rader Scheidt, der Patient, dem die Ärzte Vertrauen von und mit Lüder Woudenberg jeden Mittwoch bei SWR vier, Rheinland-Pfalz",2
"Die erste Woche oder ersten zwei Wochen ist es völlig okay, aber so die allerletzte zur Woche sage ich mal, da kann nichts wirklich tatsächlich gar nicht mehr hören, Meint diese Mitarbeiterinnen an einem Glühwein und Punsch stand, während im Hintergrund Economy Christmas läuft von Dana stammt aus den 70er-Jahren, hat also wie die meisten Weihnachtslieder schon ein paar Jahre auf dem Buckel. Also oft haben wir eine Schleife für mich selber. Wo drin arbeitet, ist es natürlich manchmal Mister schönes Lied, sich öfters wiederholt. Aber für die Gäste ist es ein entscheidender Punkt zur Atmosphäre. Stimmt das, erwarten die Besucherinnen und Besucher tatsächlich zwischen Christstollen heißen Maroni und Flammlachs mit Musik beschallt zu werden? Ja, natürlich. Warum das Ganze ein bisschen noch mal auflockern? Klar, doch bin das anstrengend? Ich bin schon mit diesen vielen Eindrücken aus dem Boden so überlastet, dann brauche ich keine Musik mehr. Die Meinungen gehen auseinander, aber wirklich ganz ohne Scham und Last Christmas auskommen, während man an Filzpantoffeln und Strickmützen vorbeischlendert. Eine Weihnachtsmusik, das hat man nur einmal im Jahr Ist es gibt eine weihnachtliche Stimmung. Man hat da einfach noch mal viel mehr Spaß auf der Arbeit. Und es motiviert dann auch mal ein, Wer immer ist es nicht leicht, allen gerecht zu werden. Aber tatsächlich ist es so ganz ohne Konzept. Sind die Jingle Bells und White Christmas -Playlists gar nicht? Ja, man muss schon ein bisschen auf die Leute eingehen, nur vormittags somit Familienkinder. Da macht man sich so Songs am Abend kommt auch mal Weihnacht Musik. Allerdings halt ein bisschen mehr Pop, mehr Stimmung, dass die Leute ein bisschen mehr mitmachen, aber keine Discomusik. Kein Tag",0
"Und es ist ein interessanter Trend, über denen wir mit ihnen sprechen wollen, heute in den sozialen Medien. Vor allem gibt es jede Menge junge Hausfrauen, die eine klare Botschaft haben. Sie sagen das Leben als Frau ohne Arbeit kann so schön sein. Der Mann arbeitet, Frau bleibt daheim, und ich habe sie gefragt, was sie davon halten. Ist das eher rückwärtsgewandt und  für Frauen sogar gefährlich? Oder ist es, ob Kai und aus ihrer Sicht empfehlenswert kam viel rein. Viele Reaktionen auch über die null sieben elf 92 92 92 92 Ich selber, weil ich nicht gearbeitet habe. Bennett sich Jahre alt und mit dem aber kann sich sowas nicht mehr leisten. Gerichte Gisela Stelle aus Remshalden ich bin wegen meinem Sohn zuhause geblieben, habe ihn versorgt. Mein Mann kam jeden Mittag zum Essenheim. Diese Zeit möchte ich persönlich nicht missen, aber mein Umfeld hat mich da öfters kritisiert. Wie kannst du mit einem Kind Daheimbleiben? Hallo, hier ist Monika Haus. Ich finde das Modell gar nicht so falsch zwiegespalten. Ich bin alleinerziehend mit drei Kindern. Ich hätte mir gewünscht, ich hätte bei meinen Kindern zu Hause bleiben können, was leider nicht ganz so ging. Die andere Seite ist, wenn ich mir heute wandte, ein Koch meine Rente ist Marco. Trotzdem wünsche ich eigentlich jeder Mutter und jeden Kind, dass die Mama die ersten drei Jahre daheimbleibt, Viele Frauen, die sich bei uns gemeldet haben. Die Männer sind da ein bisschen in der Unterzahl, aber ein haben wi r dann doch erwischt. Hallo Peter Lang, aus eins Frauen zu Hause bleiben ich bin ich schön finde es gut. Nur die Frauen sollten an der Ränder von Mann beteiligt sein. Wenn der Mann die verlässt. Der Mann stirbt, weil eine Frau ist in der Notsituation. Wenn sie mal alleine ist und keine Kinder hat, dann steht sie da. Zeit keine Vorsorge macht Neuer Trend. Frauen bleiben daheim oder ein neuer alter Trend. Frauen bleiben daheim, machen den Haushalt ohne eigenen beruflichen Ehrgeiz oder eigenen Beruf. Was sagen Sie dazu? Sie können Sie weiter bei uns mel den. Null, sieben, elf, viermal die 92 null sieben elf 92 92, 92, 92 oder Sie schreiben mir über SWR vier DE. Ihre Lebenserfahrung ist gefragt, und es ist natürlich gut, wenn man auch immer nach vorne denkt. Würden sie ihre Tochter zum Beispiel empfehlen, dieses Modell so zu",6
"Tony Holiday hier bei SWR vier um 20 vor vier, an diesem Samstagnachmittag am 8.. Oktober. Es war ein Sonntag in diesem Jahr, da wurde der Schlüssel umgedreht in Mannheim, und damit war sie zu die Mannheimer Bundesgartenschau. Und davor hatte sie von April bis Oktober 2 Komma 2 Millionen Besucher angelockt. Die Organisatoren waren damit hochzufrieden, und ich behaupte mal ganz frech 2,1 dieser 2,2. Millionen Besucher waren auch bei uns im gläsernen SWR vier Studio auf der Buga und haben uns über die Schulter geschaut. Schön war es überhaupt. Es gab viel Lob für die Buga, die er als die nachhaltigste der Bundesgartenschauen in die Annalen eingeht. Doch wie präsentiert sich das Gelände jetzt über einen Monat nach dem Ende SWR? vier-Reporterin Stefanie Ley hat einen Spaziergang durch den Luisenpark gemacht. Der Herbst hat den Mannheims grüner Oase Einzug gehalten. Der Sommerflor ist längst verwelkt, überall liegt Bundes Laub. Auf den Beeten Gelb, Violett und Weiß leuchten nur die frisch gesetzten Stiefmütterchen. Wo während der Buga Tausende von Menschen flanierten, sind jetzt nur eine Handvoll Besucher unterwegs. Ja, deswegen wollte ich dann nicht da sein, genießt das lieber in Ruhe, gefällt mir besser. Aber es ist auch werktags vormittags, und es ist der erste kalte Tag im November. Heute ist schön dank der Sonne. Die vielen Attraktionen wie das Südamerikahaus, die Vogelvoliere, das neue Pinguingehege lassen sich störungsfrei genießen. Überall ist reichlich Platz. Dieser Mannheimer geht Sehr gern ins Pflanzenschauhaus und tatsächlich des Schmetterlings Gehege. Sehr schön, viel schöner als davor, dass es so mein Winterhighlight tatsächlich Nur die Gondeln stehen still, nichts bewegt sich mehr. Sie werden wie geplant abgebaut und verschwinden. Ein Bauzaun sichert das Areal. Auch an anderen Stellen hakt es. Einige Aquarien in der Unterwasserwelt sind immer noch verwaist, die Becken Beschichtungen machen Probleme. Und auch das Cafe an der Gondo Letta ist eingerüstet. Dach und Innenausstattung würden aufpoliert, erklärt Geschäftsführer Michael Schnellbach. Vor der Buga sei dafür keine Zeit gewesen. Wer wurde eine neue Decke? Eingezogene die Beleuchtung, der Boden noch mal abgeschliffene letzte Feinschliff, das einfach das Restaurant fertig ist Als warme Anlaufstelle im kalten Advent, das hier und da nach der Buga gewerkelt wird. Für Uschi Schwarz aus Heppenheim überhaupt kein Problem. Die Besucherin zeigt Verständnis Ja, man sieht immer wieder gesperrt. Brücken oder noch irgendetwas am Arbeiten sind das Baustellen? Sind es ja ganz normal Schön war sie die Buga in Mannheim in diesem Jahr. Jetzt läuft der Rückbau wärmst gerade gehört ein Beitrag von SWR vier Reporterin Stefanie Ley",0
"Also hier ist jetzt eine unserer vorführte Station. Es ist eine Maschinenfabrik, und diese Anlage wird halt in Betrieb vorgeführt, so wie sie früher tatsächlich in Arbeit gewesen ist. Und das ist, glaube ich, das Besondere, was unser Haus ausmacht, dass sie an verschiedenen Stellen, diese Prozesse wirklich sehen können. Ein lebendiges Museum, Sekunde Wein neben der Maschinenfabrik kann man auch eine antike Dampfmaschine oder ein Webstuhl in Aktion erleben. Neben antiker Technik ist auch Zukunft ein Thema für Andreas Gundelwein. Was ist der Stand der Technik? Vor aussichtlich in 20 oder 30 Jahren? Und wie wollen wir damit umgehen? Wie verändert eine künstliche Intelligenz unser persönliches Leben? Unser Arbeitsleben, unser Privatleben, das sind die neuen Themen, die wir hiermit aufnehmen wollen. Das heißt, wir werden künftig nicht nur rückwärtsgewandt in die Technikgeschichte schauen, sondern nach vorne. Wie geht es weiter? Alles nach dem Prinzip Technik zum Anfassen. Auf einem großen Bildschirm können Besucher zum Beispiel mit einer Schwarmintelligenz interagieren. Je nach Berührung auf dem Touchscreen verändern die fischähnlichen Schwärme. Wir Bewegungen reichen aus oder wechseln die Richtung. All das soll dazu anregen, junge Menschen für Technik z u begeistern. Wir leben letztendlich auch heute noch von Industrie, und wir brauchen junge Leute, die gerne so etwas lernen. Und dafür möchten wir Begeistern sowie Gundelwein erst Vollblut. Museumsdirektor erst hatte er im Deutschen Museum in München gearbeitet, jetzt ist er in Mannheim. Die zahlreichen Mitmachstationen oder Exponate in Aktion sind für ihn immer noch etwas ganz Besonderes. Ich stelle mich immer noch gerne dorthin, obwohl ich es kenne und oft hier im Hause bin eigentlich täglich und kriege selber noch ein bisschen leuchtende Augen, weil natürlich begeistert mich Technik, sonst wäre ich hier",0
"An den Unis in Baden-Württemberg ist das Wintersemester noch ganz frisch. Die ersten Vorlesungen und Seminare laufen, und viele Er stsemester versuchen, sich an ihren neuen Studienorten zurecht zu finden oder irgendwie heimisch zu werden. Und wie jedes Jahr stellt sich in vielen Studierenden Städten, für die erst dies die Frage wo soll ich wohnen? Der Wohnungsmarkt macht es aus den Studenten nicht leicht, bezahlbare WGs oder überhaupt in Zimmerchen zu finden, wie SWR vier Reporter Stefan Schlegel in Freiburg erfahren hat. Er wollte dort von Studierenden nämlich wissen wie läuft sie denn die Wohnungssuche? Premiere war am Anfang müssen Krise? Ich habe 94 Wohnungen angeschrieben. Ich hatte einen glücklicherweise im Studentenwohnheim bekommen. Also erst bin ich in einer WG von meinen Freunden untergekommen, weil ich gar nichts gefunden habe. Dann hatte ich für zwei Monate eine Zwischenmieter. Dann bin ich wieder umgezogen für eine andere Zwischenmiete. Dann hatte ich wieder wieder in einer WG von meinem Freund untergekommen. Sicher ewigen Zimmer gesucht und dann auch zum Glück eins gefunden super schönes Haus, coole WG. Aber  jetzt hat sich dann herausgestellt in der ersten Nacht, gleich, dass ich Ratten im Zimmer hatte. Seitdem bin ich jetzt im Hotel. Der Vermieter war super nett, hat mir gleich das Hotel gezahlt, hat jetzt einen Kammerjäger reingeschickt. Hoffentlich hat sich das jetzt bald klärt. Wie teuer ist so ein Rattenloch? Ich zahle 550 Euro warm. Da wusste ich noch nichts von den Ratten, Weshalb zum Beispiel so ein Gesuch geschaltet. Und dann würde ich auch von mehr oder weniger ein paar komischen WGs angeschrieben, zum Beispiel auch beim so einer RFK. Will gilt ist da schon ein bisschen befremdlich, sage ich mal was ist eine FKK WG? Die haben in ihrem Text geschrieben, dass sie halt alle gerne zu Hause den ganzen Tag nackt rumlaufen. Und wenn man da einziehen möchte, dann musste man das auch. Ist das, was man da erlebt, Studenten und Studentinnen auf Wohnungssuche? Ich drücke die Daumen, dass das klappt und dass alle Erstsemester dann auch in Zimmerchen finden.",6
"Nein? Nein, Nein, also der Test kommt jetzt noch. Die Dichtheitsprüfung haben wir gemacht, das ist jetzt alles passiert. Und die Bädertechnik werden wir jetzt in den nächsten Wochen noch in Betrieb nehmen. Wir haben jetzt im dreizehnten noch einen TÜV-Termin, wo jetzt das Ganze auch als Bad abgenommen wird und auch in den Fahrzeugpapieren eingetragen wird. Das ist also ein reiner Schwimmkran, der jener ist. Da ist, das wird jetzt in den nächsten Tagen erfolgen.",5
"Also die Sache ist die, als der Kr ieg ausgebrochen ist. In der Ukraine sind wir als Kinderschutzbund natürlich sofort eingestiegenen. Das hat bedeutet, dass wir diesen Kindern die Möglichkeit bieten konnten, an tiergestützten Veranstaltungen teilzunehmen aus sei es mit Therapiehunden oder Reiterferien oder wie auch immer. Und dann kamen wir zusammen auf die Idee, über den Kinderschutzbund ein Treffpunkt für Mütter und ihre Kinder zu dichten. Und so ist das blau-gelbe Kaffee entstanden. Die Resonanz ist wahnsinnig groß. Und wie gesagt, es sind ja ausschließlich Mütter mit ihren Kindern übrigens auch Kaffee aufsuchen. Wie erleben Sie denn die geflüchteten Menschen, die zu ihnen kommen? Beim ersten Mal waren auch viele Menschen dabei, die sich also rechtzeitig auch aus der Situation retten konnten, weil sie eben finanzielle Hintergründe hat. Aber es gibt eben auch viele Mütter, die eben kein Geld hatten, hier rüberkamen und waren aber alleine. Und insofern sind diese Menschen unglaublich froh und bemerkenswert eigentlich, wie wenig sie ihren Schmerz zeigen. Merken Sie denn auch, dass es den Menschen dann nach einer gewissen Zeit bei ihnen besser geht? Also dass die sich auch sicherer fühlen. Also bei uns ist das jetzt so. Wir hatten ja gestern vier Großveranstaltung. Da war die Freude so groß, dass aus diesen Treffen letztendlich weitere wunderbare Verbindungen entstehen. Aber gestern das wirklich zum ersten Mal, so dass diese Frauen fröhlich waren, dass sie geholfen haben, dass sie Ideen hat. Die sehen sehr schnell, wo Hilfe gebraucht wird. Und es sind sehr M-Sieg Und unsere Herzenssache. Wie hilft die Ihnen denn bei ihrer Arbeit",3
"Und wir schauen aus dem Fenster an diesem Freitag und sehen es ist fantastisches Rodel. Glotz Wetter ja. Viele machen sich jetzt in Baden-Württemberg auf, um zu ihrer location zu kommen, wo  sie das Spiel dann gucken. Und an einer Stelle, und zwar in Münsingen. Da wird geguckt, wo andere normalerweise planschen gehen wollen. Und zwar im Freibad in Münsingen. Da wird das Freibad nämlich jetzt geräumt für das Public Viewing. Frage an SWR eins Reporter Tobias Feist warum räumt jetzt genau das Freibad bei so einem geilen Wetter am Freitag Gute Frage, weil heute selbst auf der Schwäbischen Alb, wo sonst guten Kittel kälter ist. Die Sonne strahlt. Bademeister Andreas Moll schickt die wenigen Badegäste trotz dem gegen 16 Uhr aus dem Münsinger Terrassenfreibad ist das nicht ein bisschen schade, gerade an so einem Tag? Natürlich ist es schade. Gerade heute haben wir unsere DCVD mit Public Viewing. Ab 17 Uhr geht es heute hier los. 17 Uhr geht's los 18 Uhr dann das Spiel Viertelfinale Deutschland gegen Spanien. Bisher kommen so jährlich 1000 Leute zu DJ Party meinst du? Das Viertelfinale sorgt für einen neuen Zuschauerrekord hier heute ja, als ich denke, da ist bedeutenden mehr Leute kommen worden aufgrund des Spiels zwischen Spanien und Deutschland. Ich denke ich also da, wo viel mehr los sein als sonst die Jahre zuvor. Die meisten Leute können sich ja hier bis vierund20 Uhr abkühlen. Im Becken, das heißt du hast heute auch einen recht langen Tag. Oder? Ja, heute war es etwas länger, aber da ist es einmal im Jahr ein Bach gang und gäbe bei uns hier in Münsing und du bist sehr DJ Party erfahren war es bei eigentlich jeder dabei. Jetzt ist es heute ein bisschen abhängig. Die Stimmung vom Viertelfinale, ob Deutschland gewinnt eigentlich soll ja hier bis halb drei getanzt werden. Was denkst du? Ich denke wir Deutschen heute gewinnen wi rd. Public Viewing im Freibad ist gibt auf jeden Fall an so einem Tag heute schlechtere Orte, um dieses Viertelfinale zu sehen. Absoluter Tobias Feist nach Münsingen wer Bock bekommen hat, in Badehose oder Bikini, die Nagelsmann-Elf anzufeuern es gibt noch Karten an der Tageskasse für die Public Viewing Freibad Party in Münsingen. Wenn ich könnte, würde ich hin. Ich arbeite bis 18 Uhr, j a sucht den Fe",4
